transaction_year	value	donor	donor_iso3	donor_id
1974	18.883583	United Kingdom	GBR	51
1963	18.8936856045	Thailand	THA	85
1975	19.167128	Italy	ITA	28
1979	19.1781487864	Hungary	HUN	78
1974	19.19762	Austria	AUT	6
1965	19.2009964079	Thailand	THA	85
1996	19.2535585071	Romania	ROU	91605924
1974	19.265936	Denmark	DNK	12
1974	19.328679	Japan	JPN	30
1968	19.41815	United States	USA	52
1994	19.4188131092	Latvia	LVA	79
1977	19.419367	New Zealand	NZL	38
1972	19.461108	Sweden	SWE	46
1977	19.476691	Spain	ESP	45
1977	19.55921	Portugal	PRT	43
1974	19.568089	Luxembourg	LUX	31
1972	19.581964	Iceland	ISL	3270662
1973	19.616028	Belgium	BEL	7
1974	19.6252848781	South Africa	ZAF	84
1976	19.625673	Portugal	PRT	43
1978	19.6451344564	Chile	CHL	3250264
1976	19.670161535	South Africa	ZAF	84
1983	19.8203754856	Hungary	HUN	78
1977	19.835837	Italy	ITA	28
1984	19.90329	Portugal	PRT	43
1975	19.972481	Portugal	PRT	43
1976	20.005562	Ireland	IRL	29
1966	20.0298229282	Thailand	THA	85
1973	20.039576	Canada	CAN	8
1973	20.114523	France	FRA	18
1974	20.182388	Australia	AUS	5
1976	20.3525169985	Kuwait	KWT	61
1975	20.367012	Japan	JPN	30
1975	20.368437	Ireland	IRL	29
1978	20.3758469529	Colombia	COL	76
1969	20.377154	United States	USA	52
1977	20.535638	Greece	GRC	74
1975	20.545224	Luxembourg	LUX	31
1975	20.6410906348	Kuwait	KWT	61
1985	20.6468290018	Chile	CHL	3250264
1972	20.7128309919	Thailand	THA	85
1974	20.737975	France	FRA	18
1978	20.829603	Portugal	PRT	43
1977	20.854231	Norway	NOR	40
1985	20.871257	Portugal	PRT	43
1971	20.8770210775	Thailand	THA	85
1975	20.8994650671	South Africa	ZAF	84
1974	20.938701	Netherlands	NLD	37
1977	20.9594741131	Kuwait	KWT	61
1990	20.9986977474	Colombia	COL	76
1991	21.009629553	Colombia	COL	76
1975	21.025899	Australia	AUS	5
1983	21.092751	Portugal	PRT	43
1976	21.257586	United Kingdom	GBR	51
1969	21.2658329181	Thailand	THA	85
1968	21.3197675632	Thailand	THA	85
1986	21.3908648302	Colombia	COL	76
1970	21.451935	United States	USA	52
1999	21.5829834719	Romania	ROU	91605924
1995	21.5942703277	Romania	ROU	91605924
1995	21.6348947531	Lithuania	LTU	81
1967	21.6813468555	Thailand	THA	85
1977	21.7191729425	South Africa	ZAF	84
1986	21.8123284372	Hungary	HUN	78
1982	21.8416413637	Hungary	HUN	78
1979	21.9239149244	Colombia	COL	76
1975	21.929423	Austria	AUT	6
1973	21.95071	Germany	DEU	53
1976	21.96677	Luxembourg	LUX	31
1970	21.974702047	Thailand	THA	85
1977	21.979014	Australia	AUS	5
1977	22.003883	Ireland	IRL	29
1976	22.020241	Japan	JPN	30
1987	22.0801682426	Hungary	HUN	78
1974	22.083242	Belgium	BEL	7
1992	22.1038235517	Colombia	COL	76
1976	22.10905	Australia	AUS	5
1989	22.1110061499	Colombia	COL	76
1987	22.1212866546	Colombia	COL	76
1980	22.129795179	Hungary	HUN	78
1988	22.1316794128	Colombia	COL	76
1981	22.173640654	Hungary	HUN	78
1974	22.242296	Finland	FIN	17
1988	22.2694657717	Hungary	HUN	78
1989	22.3382079512	Hungary	HUN	78
1979	22.3479	Portugal	PRT	43
1973	22.3569187599	Thailand	THA	85
1978	22.3730914838	Cyprus	CYP	91609235
1978	22.469568	Norway	NOR	40
1976	22.494158	Austria	AUT	6
1986	22.5013602937	Chile	CHL	3250264
1979	22.5050568182	Kuwait	KWT	61
1971	22.524391	United States	USA	52
2000	22.5259779576	Romania	ROU	91605924
1975	22.693745	United Kingdom	GBR	51
1973	22.783257	Sweden	SWE	46
1978	23.0640377813	Kuwait	KWT	61
1975	23.141855	Denmark	DNK	12
1978	23.288651	Spain	ESP	45
1984	23.320901	Spain	ESP	45
1985	23.3770621321	Colombia	COL	76
1986	23.3918694379	Israel	ISR	3291156
1978	23.408234	Italy	ITA	28
1978	23.430613	Greece	GRC	74
1977	23.462588	United Kingdom	GBR	51
1972	23.495821	United States	USA	52
1974	23.499058	Canada	CAN	8
1983	23.568337	Spain	ESP	45
1982	23.621503	Portugal	PRT	43
1984	23.744249	Luxembourg	LUX	31
1993	23.7678885105	Colombia	COL	76
1985	23.792295	Luxembourg	LUX	31
1978	23.884221	New Zealand	NZL	38
1977	23.940191	Luxembourg	LUX	31
1985	23.946907	Spain	ESP	45
2009	23.9492143344	Taiwan	TWN	3298046
1985	24.007793	Switzerland	CHE	47
1998	24.0203933831	Romania	ROU	91605924
1976	24.044653	Denmark	DNK	12
1978	24.1448856765	South Africa	ZAF	84
1987	24.158600024	Chile	CHL	3250264
1985	24.184798	Greece	GRC	74
2001	24.2739366124	Romania	ROU	91605924
1974	24.317262	Germany	DEU	53
1985	24.425752	Norway	NOR	40
1973	24.443371	Iceland	ISL	3270662
1984	24.462208	Norway	NOR	40
1980	24.4727984546	Colombia	COL	76
1974	24.492649	Sweden	SWE	46
1975	24.517663	Netherlands	NLD	37
1978	24.537656	Australia	AUS	5
1984	24.550725	Switzerland	CHE	47
1979	24.589882	Norway	NOR	40
1985	24.6354414801	South Africa	ZAF	84
1990	24.7865111926	Hungary	HUN	78
1973	24.799065	United States	USA	52
1990	24.8871775525	Romania	ROU	91605924
1984	24.899171	Greece	GRC	74
1975	24.911966	Canada	CAN	8
1981	25.253425	Portugal	PRT	43
1993	25.2897221238	Slovak Republic	SVK	83
1993	25.3042157392	Czech Republic	CZE	40874767
1976	25.4145712926	Saudi Arabia	SAU	60
1976	25.557341	Netherlands	NLD	37
1978	25.561704	Switzerland	CHE	47
1983	25.691848	Luxembourg	LUX	31
1981	25.730303	Switzerland	CHE	47
1984	25.736047	New Zealand	NZL	38
1983	25.767142	Norway	NOR	40
1991	25.7977605935	Poland	POL	82
1984	25.8016846197	Romania	ROU	91605924
1977	25.80813	Austria	AUT	6
1975	25.860297	Finland	FIN	17
1985	25.901291	New Zealand	NZL	38
1977	25.957687	Japan	JPN	30
1983	26.174779	Greece	GRC	74
1979	26.1874055755	Cyprus	CYP	91609235
1975	26.1892774181	Saudi Arabia	SAU	60
1975	26.229431	Belgium	BEL	7
1979	26.252176	Australia	AUS	5
1976	26.289767	France	FRA	18
1976	26.3201588795	United Arab Emirates	ARE	86
1979	26.3247110028	Chile	CHL	3250264
1991	26.3429559368	Hungary	HUN	78
1977	26.379471	Denmark	DNK	12
1980	26.427258	Portugal	PRT	43
1975	26.438606	France	FRA	18
1983	26.482141	Switzerland	CHE	47
1984	26.5429638806	Cyprus	CYP	91609235
1974	26.6321886508	Thailand	THA	85
1978	26.74095	Ireland	IRL	29
1982	26.758204	Switzerland	CHE	47
1967	26.7690872271	India	IND	4653485
1984	26.793043	Denmark	DNK	12
1976	26.884566	Belgium	BEL	7
