participating_org	donor_organizations_id	donor_organizations	donor_groups_id	donor_groups
United Nations Office for Project Services (UNOPS)	4246512	United Nations Office of Project Services (UNOPS)	120834146	Multilaterals
United Nations Office for the Coordination of Humanitarian Affairs		UN Office for the Coordination of Humanitarian Affairs (OCHA)	120834146	Multilaterals
United Nations Office of Drugs and Crime	110592803	UN Office on Drugs and Crime (UNODC)	120834146	Multilaterals
United Nations Office on Drugs & Crime (UNODC)	110592803	UN Office on Drugs and Crime (UNODC)	120834146	Multilaterals
United Nations Organization for Industrial Development	4246633	United Nations Industrial Development Organization (UNIDO)	120834146	Multilaterals
United Nations Peace Fund	49	United Nations Population Fund (UNFPA)	120834146	Multilaterals
United Nations Peacebuilding Fund	92178918	United Nations Peacebuilding Fund (UNPBF)	120834146	Multilaterals
United Nations Population Fund	49	United Nations Population Fund (UNFPA)	120834146	Multilaterals
United Nations Populations Fund	49	United Nations Population Fund (UNFPA)	120834146	Multilaterals
United Nations Trust Fund	112064776	United Nations	120834146	Multilaterals
United States (USA)	52	United States	110593551	North & Central America
United States Agency for International Development	52	United States	110593551	North & Central America
United States Department of Agriculture	52	United States	110593551	North & Central America
United States Department of Defense (US DOD)	52	United States	110593551	North & Central America
United States Department of States (US DOS)	52	United States	110593551	North & Central America
United States Institute Of Peace	52	United States	110593551	North & Central America
UNITED STATES INSTITUTE OF PEACE	52	United States	110593551	North & Central America
United States Of America	52	United States	110593551	North & Central America
United States of America	52	United States	110593551	North & Central America
UnitedNations Democratic Fund	62	United Nations Democracy Fund (UNDEF)	120834146	Multilaterals
Unodc	110592803	UN Office on Drugs and Crime (UNODC)	120834146	Multilaterals
Unops	4246512	United Nations Office of Project Services (UNOPS)	120834146	Multilaterals
UNOPS	4246512	United Nations Office of Project Services (UNOPS)	120834146	Multilaterals
Unpos	112064776	United Nations	120834146	Multilaterals
Unspecified		Unknown		Unknown
Untited Nations Foundation		NGO/Other	142309408	NGO/Other
UNWOMEN	50163269	United Nations Development Fund for Women	120834146	Multilaterals
Unwomen	50163269	United Nations Development Fund for Women	120834146	Multilaterals
URUGUAY		Uruguay	110593749	South America
US Agency for International Development (USAID)	52	United States	110593551	North & Central America
US Embassy	52	United States	110593551	North & Central America
US Government	52	United States	110593551	North & Central America
USADF	52	United States	110593551	North & Central America
USAID	52	United States	110593551	North & Central America
VISPE		NGO/Other	142309408	NGO/Other
Voluntarios de Las Naciones Unidas	48	United Nations Development Programme (UNDP)	120834146	Multilaterals
WAR CHILD INTERNATIONAL HOLLAND		NGO/Other	142309408	NGO/Other
WB_Loan	112064771	World Bank	120834146	Multilaterals
WB.ITF	112064771	World Bank	120834146	Multilaterals
WER UK		Unknown		Unknown
Wfp	50335414	World Food Programme	120834146	Multilaterals
Who	50000004	World Health Organization (WHO)	120834146	Multilaterals
WHO	50000004	World Health Organization (WHO)	120834146	Multilaterals
William and Flora Hewlett Foundation		NGO/Other	142309408	NGO/Other
Women For Human Rights Single Womengroup Association		NGO/Other	142309408	NGO/Other
WOMEN WIN		NGO/Other	142309408	NGO/Other
WOOR DAAD HOLLAND		NGO/Other	142309408	NGO/Other
World Bank	112064771	World Bank	120834146	Multilaterals
World Bank Trust Funds	112064771	World Bank	120834146	Multilaterals
World Food Program	50335414	World Food Programme	120834146	Multilaterals
World Food Programme	50335414	World Food Programme	120834146	Multilaterals
World Food Programme (WFP)	50335414	World Food Programme	120834146	Multilaterals
World Health Organisation (WHO)	50000004	World Health Organization (WHO)	120834146	Multilaterals
World Health Organization	50000004	World Health Organization (WHO)	120834146	Multilaterals
World Health Organization  (UN)	50000004	World Health Organization (WHO)	120834146	Multilaterals
World Trade Organization	40002936	World Trade Organization (WTO)	120834146	Multilaterals
World Vision International	57964908	World Vision International	142309408	NGO/Other
World Wildlife Fund, Inc., Nepal Program	110592856	World Wildlife Fund (WWF)	142309408	NGO/Other
WV Australia	5	Australia	110593648	Oceania
WV Canada	8	Canada	110593551	North & Central America
WV Germany	53	Germany	110593622	Europe
WV Hong Kong		Hong Kong, China	110593473	Far East Asia
WV Korea	40497946	Korea	110593473	Far East Asia
WV US	52	United States	110593551	North & Central America
WWF GLOBAL	110592856	World Wildlife Fund (WWF)	142309408	NGO/Other
WWW SUIZA	47	Switzerland	110593622	Europe
Youth Hope Foundation		NGO/Other	142309408	NGO/Other
