participating_org	donor_organizations_id	donor_organizations	donor_groups_id	donor_groups
Economic Development Cooperation Fund Korea	40497946	Korea	110593473	Far East Asia
ECOWAS Bank for Investment and Development (EBID)		Multilateral, Unspecified	120834146	Multilaterals
ECPAT Luxembourg Nepal		NGO/Other	142309408	NGO/Other
ECUADOR		Ecuador	110593749	South America
Egypt	67524742	Egypt	110593470	North of Sahara, regional
Egypte	67524742	Egypt	110593470	North of Sahara, regional
EIFFAGE SENEGAL		NGO/Other	142309408	NGO/Other
Embassy of Japan	30	Japan	110593473	Far East Asia
Embassy of Netherlands	37	Netherlands	110593622	Europe
Embassy of the United States	52	United States	110593551	North & Central America
EMPOWER		NGO/Other	142309408	NGO/Other
Entidad de las Naciones Unidas para la Igualdad de Género y el Empoderamiento de las Mujeres	50163269	United Nations Development Fund for Women	120834146	Multilaterals
ENTIDAD DE LAS NACIONES UNIDAS PARA LA IGUALDAD DE GENERO Y EMPODERAMIENTO DE LAS MUJERES - ONU MUJERES	50163269	United Nations Development Fund for Women	120834146	Multilaterals
ESPAÑA	45	Spain	110593622	Europe
ESTADOS UNIDOS	52	United States	110593551	North & Central America
ESTHER		NGO/Other	142309408	NGO/Other
ETAT(Budget Fonct.)		Unknown		Unknown
ETAT(Commune)		Unknown		Unknown
ETAT(FECL)		Unknown		Unknown
ETAT(Impôts et Taxes)		Unknown		Unknown
ETAT(Nature)		Unknown		Unknown
Etats Unis d'Amérique	52	United States	110593551	North & Central America
Etats-Unis (Millenium Challenge Account)	52	United States	110593551	North & Central America
ETEX		NGO/Other	142309408	NGO/Other
EU (EUROPE)	96659733	European Union	110593622	Europe
European Commission	96659733	European Union	110593622	Europe
European Investment Bank	96659733	European Union	110593622	Europe
European Union	96659733	European Union	110593622	Europe
European Union (EU)	96659733	European Union	110593622	Europe
EuropeanUnion (EU)	96659733	European Union	110593622	Europe
Exim Bank (India)	4653485	India	110593741	South & Central Asia
Exim-Bank India	4653485	India	110593741	South & Central Asia
EXIMBank China	110593672	China	110593473	Far East Asia
EXIMBank de Corea	40497946	Korea	110593473	Far East Asia
Eximbank of India (8)	4653485	India	110593741	South & Central Asia
Export-Import Bank of the United States	52	United States	110593551	North & Central America
Facilité des Etats Fragiles (3)	112064756	AFDB Group	120834146	Multilaterals
FAMILIAS BELGICA PRIVADAS		NGO/Other	142309408	NGO/Other
FAO	110592794	UN Food and Agriculture Organization (FAO)	120834146	Multilaterals
Fao	110592794	UN Food and Agriculture Organization (FAO)	120834146	Multilaterals
Faroe Islands		Faroe Islands	110593622	Europe
Feed The Houngry(USA)		NGO/Other	142309408	NGO/Other
FEM	19	Global Environment Facility (GEF)	120834146	Multilaterals
Femto - Trust Fund		NGO/Other	142309408	NGO/Other
FERROVIAL		NGO/Other	142309408	NGO/Other
FIFA		NGO/Other	142309408	NGO/Other
Financement des Privés Extérieurs		NGO/Other	142309408	NGO/Other
Finland	17	Finland	110593622	Europe
FINLAND Ministry of Foreign Affairs	17	Finland	110593622	Europe
Finlande (1)	17	Finland	110593622	Europe
FINLANDIA	17	Finland	110593622	Europe
Finnchurch Aid (fca)		NGO/Other	142309408	NGO/Other
FNUAP	49	United Nations Population Fund (UNFPA)	120834146	Multilaterals
Fondantion pour le Développement des Capacités en Afrique (16)		NGO/Other	142309408	NGO/Other
Fondation Afri. Renf Capact		NGO/Other	142309408	NGO/Other
FONDATION AIDE AUX ENFANTS		NGO/Other	142309408	NGO/Other
Fondation Cariplo de Milan		NGO/Other	142309408	NGO/Other
Fondo Arabe Kuwaití para el Desarrollo	61	Kuwait	110593697	Middle East
Fondo Coreano de Alianza para el Conocimiento en Tecnología e Innovación	40497946	Korea	110593473	Far East Asia
Fondo de Cooperación de Desarrollo Económico	40497946	Korea	110593473	Far East Asia
Fondo de las Naciones Unidas para la Infancia		United Nations Children's Fund (UNICEF)	120834146	Multilaterals
FONDO DE NACIONES UNIDAS PARA LA INFANCIA - UNICEF		United Nations Children's Fund (UNICEF)	120834146	Multilaterals
Fondo de Población de las Naciones Unidas	49	United Nations Population Fund (UNFPA)	120834146	Multilaterals
FONDO DE POBLACION DE LAS NACIONES UNIDAS - UNFPA	49	United Nations Population Fund (UNFPA)	120834146	Multilaterals
Fondo Internacional de Desarrollo Agrícola	24	International Fund for Agricultural Development (IFAD)	120834146	Multilaterals
FONDO MUNDIAL	67	Global Fund to Fight Aids, Tuberculosis and Malaria (GFATM)	120834146	Multilaterals
Fondo Mundial del Ambiente	19	Global Environment Facility (GEF)	120834146	Multilaterals
Fondo Nórdico De Desarrollo	36	Nordic Development Fund (NDF)	120834146	Multilaterals
Fondo ODM-España	45	Spain	110593622	Europe
