"ID","gwgroupid","status"
21666,43601000,"JUNIOR PARTNER"
21263,43601000,"JUNIOR PARTNER"
21509,43601000,"JUNIOR PARTNER"
21508,43601000,"JUNIOR PARTNER"
21348,43601000,"JUNIOR PARTNER"
21586,43601000,"JUNIOR PARTNER"
21588,43601000,"JUNIOR PARTNER"
21587,43601000,"JUNIOR PARTNER"
21428,43601000,"JUNIOR PARTNER"
21347,43601000,"JUNIOR PARTNER"
21664,43601000,"JUNIOR PARTNER"
21346,43601000,"JUNIOR PARTNER"
21429,43601000,"JUNIOR PARTNER"
22635,43603000,"JUNIOR PARTNER"
22744,43603000,"JUNIOR PARTNER"
22538,43603000,"JUNIOR PARTNER"
22547,43606000,"JUNIOR PARTNER"
22257,43606000,"JUNIOR PARTNER"
22081,43606000,"JUNIOR PARTNER"
22262,43606000,"JUNIOR PARTNER"
22348,43606000,"JUNIOR PARTNER"
21909,43606000,"JUNIOR PARTNER"
22255,43606000,"JUNIOR PARTNER"
21991,43606000,"JUNIOR PARTNER"
23456,43606000,"JUNIOR PARTNER"
22454,43606000,"JUNIOR PARTNER"
23328,43606000,"JUNIOR PARTNER"
22449,43606000,"JUNIOR PARTNER"
22749,43606000,"JUNIOR PARTNER"
21990,43606000,"JUNIOR PARTNER"
22751,43606000,"JUNIOR PARTNER"
23726,43606000,"JUNIOR PARTNER"
24036,43606000,"JUNIOR PARTNER"
22350,43606000,"JUNIOR PARTNER"
22349,43606000,"JUNIOR PARTNER"
21992,43606000,"JUNIOR PARTNER"
23876,43606000,"JUNIOR PARTNER"
22076,43606000,"JUNIOR PARTNER"
22080,43606000,"JUNIOR PARTNER"
21993,43606000,"JUNIOR PARTNER"
23878,43606000,"JUNIOR PARTNER"
21994,43606000,"JUNIOR PARTNER"
24035,43606000,"JUNIOR PARTNER"
22357,43606000,"JUNIOR PARTNER"
21668,43606000,"JUNIOR PARTNER"
22256,43606000,"JUNIOR PARTNER"
21988,43606000,"JUNIOR PARTNER"
22260,43606000,"JUNIOR PARTNER"
22745,43606000,"JUNIOR PARTNER"
21989,43606000,"JUNIOR PARTNER"
22170,43606000,"JUNIOR PARTNER"
22356,43606000,"JUNIOR PARTNER"
22750,43606000,"JUNIOR PARTNER"
22079,43606000,"JUNIOR PARTNER"
22264,43606000,"JUNIOR PARTNER"
21908,43606000,"JUNIOR PARTNER"
23455,43606000,"JUNIOR PARTNER"
22165,43606000,"JUNIOR PARTNER"
22743,43606000,"JUNIOR PARTNER"
21904,43606000,"JUNIOR PARTNER"
22352,43606000,"JUNIOR PARTNER"
22742,43606000,"JUNIOR PARTNER"
21911,43606000,"JUNIOR PARTNER"
22077,43606000,"JUNIOR PARTNER"
22450,43606000,"JUNIOR PARTNER"
22353,43606000,"JUNIOR PARTNER"
22545,43606000,"JUNIOR PARTNER"
22164,43606000,"JUNIOR PARTNER"
22542,43606000,"JUNIOR PARTNER"
23584,43606000,"JUNIOR PARTNER"
21670,43606000,"JUNIOR PARTNER"
23327,43606000,"JUNIOR PARTNER"
22261,43606000,"JUNIOR PARTNER"
22259,43606000,"JUNIOR PARTNER"
21905,43606000,"JUNIOR PARTNER"
22862,43606000,"JUNIOR PARTNER"
23449,43606000,"JUNIOR PARTNER"
22447,43606000,"JUNIOR PARTNER"
22355,43606000,"JUNIOR PARTNER"
23725,43606000,"JUNIOR PARTNER"
22265,43606000,"JUNIOR PARTNER"
22163,43606000,"JUNIOR PARTNER"
22636,43606000,"JUNIOR PARTNER"
21823,43606000,"JUNIOR PARTNER"
21832,43606000,"JUNIOR PARTNER"
21903,43606000,"JUNIOR PARTNER"
23727,43606000,"JUNIOR PARTNER"
21985,43606000,"JUNIOR PARTNER"
22169,43606000,"JUNIOR PARTNER"
22455,43606000,"JUNIOR PARTNER"
21748,43606000,"JUNIOR PARTNER"
22171,43606000,"JUNIOR PARTNER"
22451,43606000,"JUNIOR PARTNER"
22166,43606000,"JUNIOR PARTNER"
22453,43606000,"JUNIOR PARTNER"
23215,43606000,"JUNIOR PARTNER"
23453,43606000,"JUNIOR PARTNER"
21907,43606000,"JUNIOR PARTNER"
22741,43606000,"JUNIOR PARTNER"
22258,43606000,"JUNIOR PARTNER"
22075,43606000,"JUNIOR PARTNER"
21986,43606000,"JUNIOR PARTNER"
23100,43606000,"JUNIOR PARTNER"
23446,43606000,"JUNIOR PARTNER"
22078,43606000,"JUNIOR PARTNER"
23583,43606000,"JUNIOR PARTNER"
23582,43606000,"JUNIOR PARTNER"
23323,43606000,"JUNIOR PARTNER"
22540,43606000,"JUNIOR PARTNER"
21667,43606000,"JUNIOR PARTNER"
23324,43606000,"JUNIOR PARTNER"
23096,43606000,"JUNIOR PARTNER"
23329,43606000,"JUNIOR PARTNER"
21987,43606000,"JUNIOR PARTNER"
22351,43606000,"JUNIOR PARTNER"
22446,43606000,"JUNIOR PARTNER"
23330,43606000,"JUNIOR PARTNER"
23208,43606000,"JUNIOR PARTNER"
21747,43606000,"JUNIOR PARTNER"
21179,43606000,"JUNIOR PARTNER"
