"ID","status","group","hist_discr","hist_monop"
19472,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19163,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19161,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19765,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19392,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19572,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19987,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19688,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
20162,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19576,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19485,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19692,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19305,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19613,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19514,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19221,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19513,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19842,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19997,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19073,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19752,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19096,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19341,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19098,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19756,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
20004,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
20062,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19527,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19348,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19764,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
20064,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19629,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19437,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19633,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19528,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19379,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19130,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19296,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19160,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19383,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19473,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19827,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19683,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19475,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19187,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19391,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19986,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19302,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19570,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19396,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19307,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19482,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19838,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19693,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19840,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19994,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19484,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19128,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19192,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19264,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19694,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19696,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19094,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19340,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19618,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19434,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19435,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19624,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19124,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19908,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19389,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19763,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19830,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19377,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19260,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19831,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19465,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19769,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19382,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19468,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19771,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19772,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19470,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19397,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19387,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19263,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19571,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19394,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19695,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
20243,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19053,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19577,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19189,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19483,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19578,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19841,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19907,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19349,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19829,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19127,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19262,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19985,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19093,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19097,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19431,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19754,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19523,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19757,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19525,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19155,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19474,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19762,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19388,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19390,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19125,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19677,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19441,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19466,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19131,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19676,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19381,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19158,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19421,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19839,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19386,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19436,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19625,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
20144,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19072,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19984,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19304,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19190,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19481,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19479,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19832,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19526,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19627,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19256,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19682,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
20082,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19385,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19393,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19074,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19753,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19429,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
20001,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
20003,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19428,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19770,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19156,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19132,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19229,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19626,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19906,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19384,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19476,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
20074,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19440,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19766,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19188,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
20072,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19833,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19191,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19303,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19469,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19678,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19689,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19681,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19680,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19424,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19478,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19988,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19755,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19480,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19230,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19380,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19427,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
20073,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
20145,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19751,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
20143,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19439,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19100,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19095,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19422,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19438,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19477,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19471,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19423,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19425,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19679,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19071,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19750,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19426,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
20081,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
21510,"JUNIOR PARTNER","Djerma-Songhai",0,0
21665,"JUNIOR PARTNER","Djerma-Songhai",0,0
21666,"JUNIOR PARTNER","Djerma-Songhai",0,0
21263,"JUNIOR PARTNER","Djerma-Songhai",0,0
21509,"JUNIOR PARTNER","Djerma-Songhai",0,0
21508,"JUNIOR PARTNER","Djerma-Songhai",0,0
21348,"JUNIOR PARTNER","Djerma-Songhai",0,0
21586,"JUNIOR PARTNER","Djerma-Songhai",0,0
21588,"JUNIOR PARTNER","Djerma-Songhai",0,0
21587,"JUNIOR PARTNER","Djerma-Songhai",0,0
21428,"JUNIOR PARTNER","Djerma-Songhai",0,0
21347,"JUNIOR PARTNER","Djerma-Songhai",0,0
21664,"JUNIOR PARTNER","Djerma-Songhai",0,0
21346,"JUNIOR PARTNER","Djerma-Songhai",0,0
21429,"JUNIOR PARTNER","Djerma-Songhai",0,0
22635,"JUNIOR PARTNER","Kanouri",0,0
22744,"JUNIOR PARTNER","Kanouri",0,0
22538,"JUNIOR PARTNER","Kanouri",0,0
22547,"JUNIOR PARTNER","Tuareg",1,0
22257,"JUNIOR PARTNER","Tuareg",1,0
22081,"JUNIOR PARTNER","Tuareg",1,0
22262,"JUNIOR PARTNER","Tuareg",1,0
22348,"JUNIOR PARTNER","Tuareg",1,0
21909,"JUNIOR PARTNER","Tuareg",1,0
22255,"JUNIOR PARTNER","Tuareg",1,0
21991,"JUNIOR PARTNER","Tuareg",1,0
23456,"JUNIOR PARTNER","Tuareg",1,0
22454,"JUNIOR PARTNER","Tuareg",1,0
23328,"JUNIOR PARTNER","Tuareg",1,0
22449,"JUNIOR PARTNER","Tuareg",1,0
22749,"JUNIOR PARTNER","Tuareg",1,0
21990,"JUNIOR PARTNER","Tuareg",1,0
22751,"JUNIOR PARTNER","Tuareg",1,0
23726,"JUNIOR PARTNER","Tuareg",1,0
24036,"JUNIOR PARTNER","Tuareg",1,0
22350,"JUNIOR PARTNER","Tuareg",1,0
22349,"JUNIOR PARTNER","Tuareg",1,0
21992,"JUNIOR PARTNER","Tuareg",1,0
23876,"JUNIOR PARTNER","Tuareg",1,0
22076,"JUNIOR PARTNER","Tuareg",1,0
22080,"JUNIOR PARTNER","Tuareg",1,0
21993,"JUNIOR PARTNER","Tuareg",1,0
23878,"JUNIOR PARTNER","Tuareg",1,0
21994,"JUNIOR PARTNER","Tuareg",1,0
24035,"JUNIOR PARTNER","Tuareg",1,0
22357,"JUNIOR PARTNER","Tuareg",1,0
21668,"JUNIOR PARTNER","Tuareg",1,0
22256,"JUNIOR PARTNER","Tuareg",1,0
21988,"JUNIOR PARTNER","Tuareg",1,0
22260,"JUNIOR PARTNER","Tuareg",1,0
22745,"JUNIOR PARTNER","Tuareg",1,0
21989,"JUNIOR PARTNER","Tuareg",1,0
22170,"JUNIOR PARTNER","Tuareg",1,0
22356,"JUNIOR PARTNER","Tuareg",1,0
22750,"JUNIOR PARTNER","Tuareg",1,0
22079,"JUNIOR PARTNER","Tuareg",1,0
22264,"JUNIOR PARTNER","Tuareg",1,0
21908,"JUNIOR PARTNER","Tuareg",1,0
23455,"JUNIOR PARTNER","Tuareg",1,0
22165,"JUNIOR PARTNER","Tuareg",1,0
22743,"JUNIOR PARTNER","Tuareg",1,0
