"","ID","x","y","tribeid","tribename"
"302",19374,-11.75,14.25,483,"MALINKE"
"303",19375,-11.75,14.75,717,"SONINKE"
"304",19376,-11.75,15.25,717,"SONINKE"
"305",19377,-11.75,15.75,717,"SONINKE"
"306",19378,-11.75,16.25,186,"DUAISH"
"307",19379,-11.75,16.75,186,"DUAISH"
"308",19380,-11.75,17.25,186,"DUAISH"
"309",19381,-11.75,17.75,186,"DUAISH"
"310",19382,-11.75,18.25,186,"DUAISH"
"311",19383,-11.75,18.75,186,"DUAISH"
"312",19384,-11.75,19.25,647,"REGEIBAT"
"313",19385,-11.75,19.75,647,"REGEIBAT"
"314",19386,-11.75,20.25,647,"REGEIBAT"
"315",19387,-11.75,20.75,647,"REGEIBAT"
"316",19388,-11.75,21.25,647,"REGEIBAT"
"317",19389,-11.75,21.75,647,"REGEIBAT"
"318",19390,-11.75,22.25,647,"REGEIBAT"
"319",19391,-11.75,22.75,647,"REGEIBAT"
"320",19392,-11.75,23.25,647,"REGEIBAT"
"321",19393,-11.75,23.75,647,"REGEIBAT"
"322",19394,-11.75,24.25,647,"REGEIBAT"
"323",19395,-11.75,24.75,647,"REGEIBAT"
"324",19396,-11.75,25.25,647,"REGEIBAT"
"325",19397,-11.75,25.75,647,"REGEIBAT"
"326",19398,-11.75,26.25,647,"REGEIBAT"
"327",19399,-11.75,26.75,746,"TEKNA"
"328",19400,-11.75,27.25,746,"TEKNA"
"329",19401,-11.75,27.75,746,"TEKNA"
"330",19402,-11.75,28.25,NA,NA
"331",19403,-11.25,6.75,790,"VAI"
"332",19404,-11.25,7.25,244,"GOLA"
"333",19405,-11.25,7.75,530,"MENDE"
"334",19406,-11.25,8.25,530,"MENDE"
"335",19407,-11.25,8.75,750,"TEMNE"
"336",19408,-11.25,9.25,389,"KORANKO"
"337",19409,-11.25,9.75,814,"YALUNKA"
"338",19410,-11.25,10.25,814,"YALUNKA"
"339",19411,-11.25,10.75,217,"FOUTADJALON"
"340",19412,-11.25,11.25,217,"FOUTADJALON"
"341",19413,-11.25,11.75,217,"FOUTADJALON"
"342",19414,-11.25,12.25,173,"DIALONKE"
"343",19415,-11.25,12.75,483,"MALINKE"
"344",19416,-11.25,13.25,483,"MALINKE"
"345",19417,-11.25,13.75,346,"KASONKE"
"346",19418,-11.25,14.25,346,"KASONKE"
"347",19419,-11.25,14.75,346,"KASONKE"
"348",19420,-11.25,15.25,717,"SONINKE"
"349",19421,-11.25,15.75,717,"SONINKE"
"350",19422,-11.25,16.25,827,"ZENEGA"
"351",19423,-11.25,16.75,186,"DUAISH"
"352",19424,-11.25,17.25,186,"DUAISH"
"353",19425,-11.25,17.75,186,"DUAISH"
"354",19426,-11.25,18.25,186,"DUAISH"
"355",19427,-11.25,18.75,186,"DUAISH"
"356",19428,-11.25,19.25,647,"REGEIBAT"
"357",19429,-11.25,19.75,647,"REGEIBAT"
"358",19430,-11.25,20.25,647,"REGEIBAT"
"359",19431,-11.25,20.75,647,"REGEIBAT"
"360",19432,-11.25,21.25,647,"REGEIBAT"
"361",19433,-11.25,21.75,647,"REGEIBAT"
"362",19434,-11.25,22.25,647,"REGEIBAT"
"363",19435,-11.25,22.75,647,"REGEIBAT"
"364",19436,-11.25,23.25,647,"REGEIBAT"
"365",19437,-11.25,23.75,647,"REGEIBAT"
"366",19438,-11.25,24.25,647,"REGEIBAT"
"367",19439,-11.25,24.75,647,"REGEIBAT"
"368",19440,-11.25,25.25,647,"REGEIBAT"
"369",19441,-11.25,25.75,647,"REGEIBAT"
"370",19442,-11.25,26.25,647,"REGEIBAT"
"371",19443,-11.25,26.75,647,"REGEIBAT"
"372",19444,-11.25,27.25,746,"TEKNA"
"373",19445,-11.25,27.75,746,"TEKNA"
"374",19446,-11.25,28.25,746,"TEKNA"
"375",19447,-10.75,6.75,790,"VAI"
"376",19448,-10.75,7.25,244,"GOLA"
"377",19449,-10.75,7.75,530,"MENDE"
"378",19450,-10.75,8.25,530,"MENDE"
"379",19451,-10.75,8.75,384,"KONO"
"380",19452,-10.75,9.25,389,"KORANKO"
"381",19453,-10.75,9.75,389,"KORANKO"
"382",19454,-10.75,10.25,814,"YALUNKA"
"383",19455,-10.75,10.75,483,"MALINKE"
"384",19456,-10.75,11.25,483,"MALINKE"
"385",19457,-10.75,11.75,217,"FOUTADJALON"
"386",19458,-10.75,12.25,173,"DIALONKE"
"387",19459,-10.75,12.75,483,"MALINKE"
"388",19460,-10.75,13.25,483,"MALINKE"
"389",19461,-10.75,13.75,483,"MALINKE"
"390",19462,-10.75,14.25,346,"KASONKE"
"391",19463,-10.75,14.75,346,"KASONKE"
"392",19464,-10.75,15.25,717,"SONINKE"
"393",19465,-10.75,15.75,827,"ZENEGA"
"394",19466,-10.75,16.25,827,"ZENEGA"
"395",19467,-10.75,16.75,827,"ZENEGA"
"396",19468,-10.75,17.25,827,"ZENEGA"
"397",19469,-10.75,17.75,827,"ZENEGA"
"398",19470,-10.75,18.25,827,"ZENEGA"
"399",19471,-10.75,18.75,827,"ZENEGA"
"400",19472,-10.75,19.25,647,"REGEIBAT"
"401",19473,-10.75,19.75,647,"REGEIBAT"
"402",19474,-10.75,20.25,647,"REGEIBAT"
"403",19475,-10.75,20.75,647,"REGEIBAT"
"404",19476,-10.75,21.25,647,"REGEIBAT"
"405",19477,-10.75,21.75,647,"REGEIBAT"
"406",19478,-10.75,22.25,647,"REGEIBAT"
"407",19479,-10.75,22.75,647,"REGEIBAT"
"408",19480,-10.75,23.25,647,"REGEIBAT"
