"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54"
0,0,0,0,0,0,0,0,0,0,0,0,0.115750194057388,0.106522294301456,0.117764063936418,0,0,0,0,0.108290170807354,0,0.108387246782827,0,0,0,0,0,0.117782845803406,0.111357183863358,0.120588455492245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.112362005738574,0.106189378357984,0,0,0,0,0,0.108387246782827,0,0.110458028764406,0,0,0,0,0,0.121401356328173,0.1007154664376,0.116635251600166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12060210925383,0,0,0,0,0,0,0.110458028764406,0,0,0,0,0,0,0,0.112426549546615,0.10597055919544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106754802926816,0.124545612317601,0,0,0,0,0,0,0,0.114879653387913,0,0,0,0,0,0,0.111224484307067,0.132109174488253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127163097205441,0.1133110971977,0.133305116134689,0,0,0,0,0,0.114879653387913,0,0.139078774397134,0,0,0,0,0,0.121660706073149,0.137189628268307,0.126545811466567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128011396302084,0.125412802150709,0.143825403155847,0,0,0,0,0,0.139078774397134,0,0.150047955741762,0,0,0,0,0,0.132310032384588,0.120673681819005,0.154647948520281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145437591925733,0.128346591915747,0.125334881793486,0,0,0,0,0,0.150047955741762,0,0.137098235012321,0,0,0,0,0,0.160249378916502,0.12569339001077,0.132101168172614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131364330583706,0.115448992721108,0.117782845803406,0,0,0,0,0,0.137098235012321,0,0.120152057581578,0,0,0,0,0,0.149562978727855,0.142815210095732,0.132597201025947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116901078960063,0.111357183863358,0.121401356328173,0,0,0,0,0,0.120152057581578,0,0.107128346046885,0,0,0,0,0,0.130076858169957,0.109724884891238,0.119898568069537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120588455492245,0.1007154664376,0.112426549546615,0,0,0,0,0,0.107128346046885,0,0.109092717204837,0,0,0,0,0,0.125712803957987,0.102881074311532,0.11406700631011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116635251600166,0.10597055919544,0,0,0,0,0,0,0.109092717204837,0,0,0,0,0,0,0,0.11148130192389,0.108263242968937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111224484307067,0.121660706073149,0,0,0,0,0,0,0,0.120601439791378,0,0,0,0,0,0,0.124294467746324,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132109174488253,0.137189628268307,0.132310032384588,0,0,0,0,0,0.120601439791378,0,0.118760716860922,0,0,0,0,0,0.117284012484321,0.130082470935664,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126545811466567,0.120673681819005,0.160249378916502,0,0,0,0,0,0.118760716860922,0,0.122516252079587,0,0,0,0,0.12342754776659,0.105391165594083,0.134923973407258,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154647948520281,0.12569339001077,0.149562978727855,0,0,0,0,0,0.122516252079587,0,0.129630135282159,0,0,0,0,0.140303396944492,0.135468702537016,0.126692817822716,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132101168172614,0.142815210095732,0.130076858169957,0,0,0,0,0,0.129630135282159,0,0.118590311148154,0,0,0,0,0.131469864408045,0.119437316516647,0.151176058746907,0,0,0,0,0,0,0,0,0,0
