"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.31416625530459e-05,0,4.81595945943466e-05,0,0,0,0,0,0,0,4.96286647072462e-05,3.10332800825533e-05,5.44426616526406e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.81595945943466e-05,0,0,0,0,0,0,0,0,0,5.62206812112029e-05,3.0726246141059e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1.66497270835119e-05,2.11276698502999e-05,0,0,0,0,0,0,0,0,0,1.6498795377024e-05,0,0,0,0,0,0,0,0,4.02091919937417e-05,1.60636836291809e-05,2.1377210363205e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,2.28979099407309e-05,1.50557148865546e-05,2.66629058065044e-05,0,0,0,0,0,0,0,1.6498795377024e-05,0,1.67280933179386e-05,0,0,0,0,0,0,0,0,2.20544034083217e-05,1.5248117201653e-05,2.37226140912944e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2.14296411298552e-05,4.49528158845828e-05,3.94898033647263e-05,0,0,0,0,0,0,0,1.67280933179386e-05,0,6.16130456264928e-05,0,0,0,0,0,0,0,0,2.16514744980945e-05,3.25369514168572e-05,4.55994752218766e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.06793205118552e-05,2.85852763933151e-05,6.71426634279015e-05,0,0,0,0,0,0,0,6.16130456264928e-05,0,3.86992403027597e-05,0,0,0,0,0,0,0,0,7.05008904481815e-05,3.41733955106822e-05,4.81182432611779e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.23450243777559e-05,9.60741882259456e-05,8.35305548112493e-05,0,0,0,0,0,0,0,3.86992403027597e-05,0,5.4060071549269e-05,0,0,0,0,0,0,0,0,4.78314263015149e-05,2.89511729116669e-05,4.38021700200344e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.46862103634762e-05,4.38451300653077e-05,5.52545046496273e-05,0,0,0,0,0,0,0,5.4060071549269e-05,0,4.65748042665247e-05,0,0,0,0,0,0,0,0,0.000105690430574326,7.99665835781676e-05,8.99311532998103e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.51732243686356e-05,3.75608045249093e-05,4.60588991835855e-05,0,0,0,0,0,0,0,4.65748042665247e-05,0,3.43088713893135e-05,0,0,0,0,0,0,0,0,4.34506419589776e-05,3.98703257450233e-05,4.7506459869631e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4797321449542e-05,2.96965317752169e-05,4.96286647072462e-05,0,0,0,0,0,0,0,3.43088713893135e-05,0,4.21388698418454e-05,0,0,0,0,0,0,0,0,4.92482398944398e-05,3.59696664232258e-05,4.2050470616805e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.77252933642424e-05,3.10332800825533e-05,5.62206812112029e-05,0,0,0,0,0,0,0,4.21388698418454e-05,0,6.17902709987169e-05,0,0,0,0,0,0,0,0,5.91435961404023e-05,3.46798942103373e-05,5.71432431809944e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.44426616526406e-05,3.0726246141059e-05,0,0,0,0,0,0,0,0,6.17902709987169e-05,0,0,0,0,0,0,0,0,0,0,6.70498994760375e-05,4.02294250030506e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.02091919937417e-05,0,0,0,0,0,0,0,0,0,0,1.63837798676594e-05,0,0,0,0,0,0,0,0,0,0,0,2.17106099079034e-05,1.72215965168652e-05,2.14940265184823e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.60636836291809e-05,2.20544034083217e-05,0,0,0,0,0,0,0,0,1.63837798676594e-05,0,1.66619957997265e-05,0,0,0,0,0,0,0,0,0,0,0,2.43053241158413e-05,1.63072383399544e-05,2.24920765984537e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1377210363205e-05,1.5248117201653e-05,2.16514744980945e-05,0,0,0,0,0,0,0,0,1.66619957997265e-05,0,1.80483122558953e-05,0,0,0,0,0,0,0,0,0,0,0,2.1812317678317e-05,1.56597615618231e-05,2.3555462309162e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.37226140912944e-05,3.25369514168572e-05,7.05008904481815e-05,0,0,0,0,0,0,0,0,1.80483122558953e-05,0,3.65125140455455e-05,0,0,0,0,0,0,0,0,0,0,0,8.63182920001823e-05,3.17884901258504e-05,3.79835161359179e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55994752218766e-05,3.41733955106822e-05,4.78314263015149e-05,0,0,0,0,0,0,0,0,3.65125140455455e-05,0,5.66087960555791e-05,0,0,0,0,0,0,0,0,0,0,0,3.42375393131488e-05,1.93655658832909e-05,3.96364324608475e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.81182432611779e-05,2.89511729116669e-05,0.000105690430574326,0,0,0,0,0,0,0,0,5.66087960555791e-05,0,3.27935155023392e-05,0,0,0,0,0,0,0,0,0,0,0,5.415761595301e-05,3.05451003664641e-05,3.89829947793271e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.38021700200344e-05,7.99665835781676e-05,4.34506419589776e-05,0,0,0,0,0,0,0,0,3.27935155023392e-05,0,3.81532976013557e-05,0,0,0,0,0,0,0,0,0,0,0,4.31542725798086e-05,2.33398486634635e-05,4.36317421634297e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
