"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.06207611566447e-05,7.25145076018983e-05,8.51670055107962e-05,0,0,0,0,0,0,0,0,0,6.40047057581695e-05,0,6.79500760513691e-05,0,0,0,0,0,0,0,0,0,5.77509418378626e-05,9.95599493077283e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000106580282737598,5.89542589300827e-05,8.55929730442637e-05,0,0,0,0,0,0,0,0,0,6.79500760513691e-05,0,7.80798903416007e-05,0,0,0,0,0,0,0,0,7.29494437632333e-05,7.88099879641774e-05,0.000103776135236673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.65398594493908e-05,5.71518921917258e-05,0.000101124404475476,0,0,0,0,0,0,0,0,0,7.80798903416007e-05,0,6.08235814003837e-05,0,0,0,0,0,0,0,0,9.359940827533e-05,6.01693771766302e-05,8.34234003809326e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.23657027731057e-05,6.91613278015175e-05,7.27162767445654e-05,0,0,0,0,0,0,0,0,0,6.08235814003837e-05,0,5.75379132836537e-05,0,0,0,0,0,0,0,0,9.48641022166862e-05,7.14638096416352e-05,8.39689148019182e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000106228202831317,4.81201208390753e-05,8.2264014222721e-05,0,0,0,0,0,0,0,0,0,5.75379132836537e-05,0,5.190470830273e-05,0,0,0,0,0,0,0,0,8.77497632285251e-05,4.18837289519977e-05,6.60661000790497e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4865262589285e-05,7.22801500076807e-05,0.000141958225959046,0,0,0,0,0,0,0,0,0,5.190470830273e-05,0,0.000144418670807665,0,0,0,0,0,0,0,0,7.71795673153838e-05,8.16177127143764e-05,0.000130338004460057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000111819431058857,7.91596785011188e-05,0.000109014055174835,0,0,0,0,0,0,0,0,0,0.000144418670807665,0,4.81635365121334e-05,0,0,0,0,0,0,0,0,0.000190819007405677,0.00014385307063306,9.17240763347082e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.81287506864779e-05,7.98410987872065e-05,0.000123577596668164,0,0,0,0,0,0,0,0,0,4.81635365121334e-05,0,8.19841821750823e-05,0,0,0,0,0,0,0,0,0.000119737521458747,6.41521779306361e-05,7.39170035993782e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.61769949218839e-05,0.000151693113708803,9.3915162724559e-05,0,0,0,0,0,0,0,0,0,8.19841821750823e-05,0,4.46714239011854e-05,0,0,0,0,0,0,0,0,8.22932381524404e-05,8.76583759827306e-05,0.000126429103310136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000110975457538937,5.41518021484789e-05,8.70873219870873e-05,0,0,0,0,0,0,0,0,0,4.46714239011854e-05,0,4.37071588502057e-05,0,0,0,0,0,0,0,0,0.000113746499283616,6.99627857479984e-05,9.56586445836628e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.83808250663701e-05,4.56146338591432e-05,0,0,0,0,0,0,0,0,0,0,4.37071588502057e-05,0,0,0,0,0,0,0,0,0,0,7.35904433652199e-05,4.80706022303636e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.85887431282555e-05,5.77509418378626e-05,7.29494437632333e-05,0,0,0,0,0,0,0,0,0,0,7.0999055139701e-05,0,0,0,0,0,0,0,0,0,6.63097580774432e-05,9.71313318307166e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
